==308065== NVPROF is profiling process 308065, command: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308065== Profiling application: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308065== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Unified Memory","Virtual Address","Name","Correlation_ID"
s,ms,,,,,,,,B,B,MB,GB/s,,,,,,B,,,
1.802745,0.002752,,,,,,,,,,,,,,"TITAN Xp (0)",,,20480.000000,"0x7f54d8063000","[Unified Memory Memcpy HtoD]",
1.802747,0.001856,,,,,,,,,,,,,,"TITAN Xp (0)",,,8192.000000,"0x7f54d8068000","[Unified Memory Memcpy HtoD]",
1.802749,0.001120,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d806a000","[Unified Memory Memcpy HtoD]",
1.802750,0.001056,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d806b000","[Unified Memory Memcpy HtoD]",
1.802751,0.003040,,,,,,,,,,,,,,"TITAN Xp (0)",,,24576.000000,"0x7f54d806c000","[Unified Memory Memcpy HtoD]",
1.802754,0.001120,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8072000","[Unified Memory Memcpy HtoD]",
1.802755,0.011072,,,,,,,,,,,,,,"TITAN Xp (0)",,,118784.000000,"0x7f54d8073000","[Unified Memory Memcpy HtoD]",
1.802815,0.001824,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8200000","[Unified Memory Memcpy HtoD]",
1.802817,0.002080,,,,,,,,,,,,,,"TITAN Xp (0)",,,12288.000000,"0x7f54d8201000","[Unified Memory Memcpy HtoD]",
1.802819,0.001504,,,,,,,,,,,,,,"TITAN Xp (0)",,,8192.000000,"0x7f54d8204000","[Unified Memory Memcpy HtoD]",
1.802821,0.001056,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8206000","[Unified Memory Memcpy HtoD]",
1.802822,0.004192,,,,,,,,,,,,,,"TITAN Xp (0)",,,36864.000000,"0x7f54d8207000","[Unified Memory Memcpy HtoD]",
1.802826,0.005024,,,,,,,,,,,,,,"TITAN Xp (0)",,,45056.000000,"0x7f54d8370000","[Unified Memory Memcpy HtoD]",
1.802831,0.004032,,,,,,,,,,,,,,"TITAN Xp (0)",,,36864.000000,"0x7f54d837b000","[Unified Memory Memcpy HtoD]",
1.802835,0.001088,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8384000","[Unified Memory Memcpy HtoD]",
1.802836,0.001056,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8385000","[Unified Memory Memcpy HtoD]",
1.802837,0.001024,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8386000","[Unified Memory Memcpy HtoD]",
1.802838,0.001024,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8387000","[Unified Memory Memcpy HtoD]",
1.802839,0.001472,,,,,,,,,,,,,,"TITAN Xp (0)",,,8192.000000,"0x7f54d8388000","[Unified Memory Memcpy HtoD]",
1.802840,0.000960,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d838a000","[Unified Memory Memcpy HtoD]",
