==9587== NVPROF is profiling process 9587, command: ./cuda-stream
==9587== Profiling application: ./cuda-stream
==9587== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
384.36ms  1.2320ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [518]
385.59ms  1.0240us                    -               -         -         -         -  2.0000KB  1.8626GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
385.61ms  1.2362ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [525]
386.86ms  1.2370ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [532]
388.11ms  1.8431ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void add_kernel<double>(double const *, double const *, double*) [540]
389.96ms  1.8430ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [548]
391.82ms  1.2316ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [557]
393.06ms  1.0240us                    -               -         -         -         -  2.0000KB  1.8626GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
393.07ms  1.2352ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [564]
394.32ms  1.2377ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [571]
395.57ms  1.8430ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void add_kernel<double>(double const *, double const *, double*) [579]
397.43ms  1.8435ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [587]
399.28ms  1.2313ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [596]
400.52ms  1.0240us                    -               -         -         -         -  2.0000KB  1.8626GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
400.54ms  1.2356ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [603]
401.78ms  1.2372ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [610]
403.03ms  1.8433ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void add_kernel<double>(double const *, double const *, double*) [618]
404.89ms  1.8435ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [626]
406.74ms  1.2317ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [635]
407.98ms  1.0240us                    -               -         -         -         -  2.0000KB  1.8626GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
408.00ms  1.2354ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [642]
409.25ms  1.2384ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [649]
410.50ms  1.8444ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void add_kernel<double>(double const *, double const *, double*) [657]
412.36ms  1.8433ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [665]
414.22ms  1.2320ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [674]
415.46ms  1.0240us                    -               -         -         -         -  2.0000KB  1.8626GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
415.47ms  1.2357ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [681]
416.72ms  1.2373ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [688]
417.97ms  1.8441ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void add_kernel<double>(double const *, double const *, double*) [696]
419.83ms  1.8438ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [704]
421.68ms  1.2307ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [713]
422.92ms  1.0240us                    -               -         -         -         -  2.0000KB  1.8626GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
422.94ms  1.2356ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [720]
424.19ms  1.2373ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [727]
